Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area
LP002743,Female,No,0,Graduate,No,Semiurban
LP002753,Female,No,1,Graduate,,Semiurban
LP002755,Male,Yes,1,Not Graduate,No,Urban
LP002757,Female,Yes,0,Not Graduate,No,Semiurban
LP002767,Male,Yes,0,Graduate,No,Rural
LP002768,Male,No,0,Not Graduate,No,Semiurban
LP002772,Male,No,0,Graduate,No,Rural
LP002776,Female,No,0,Graduate,No,Semiurban
LP002777,Male,Yes,0,Graduate,No,Rural
LP002778,Male,Yes,2,Graduate,Yes,Rural
LP002784,Male,Yes,1,Not Graduate,No,Rural
LP002785,Male,Yes,1,Graduate,No,Urban
LP002788,Male,Yes,0,Not Graduate,No,Urban
LP002789,Male,Yes,0,Graduate,No,Rural
LP002792,Male,Yes,1,Graduate,No,Semiurban
LP002794,Female,No,0,Graduate,No,Urban
LP002795,Male,Yes,3+,Graduate,Yes,Semiurban
LP002798,Male,Yes,0,Graduate,No,Semiurban
LP002804,Female,Yes,0,Graduate,No,Semiurban
LP002807,Male,Yes,2,Not Graduate,No,Semiurban
LP002813,Female,Yes,1,Graduate,Yes,Semiurban
LP002820,Male,Yes,0,Graduate,No,Rural
LP002821,Male,No,0,Not Graduate,Yes,Semiurban
LP002832,Male,Yes,2,Graduate,No,Urban
LP002833,Male,Yes,0,Not Graduate,No,Rural
LP002836,Male,No,0,Graduate,No,Urban
LP002837,Male,Yes,3+,Graduate,No,Rural
LP002840,Female,No,0,Graduate,No,Urban
LP002841,Male,Yes,0,Graduate,No,Urban
LP002842,Male,Yes,1,Graduate,No,Urban
LP002847,Male,Yes,,Graduate,No,Urban
LP002855,Male,Yes,2,Graduate,No,Urban
LP002862,Male,Yes,2,Not Graduate,No,Semiurban
LP002863,Male,Yes,3+,Graduate,No,Semiurban
LP002868,Male,Yes,2,Graduate,No,Urban
LP002872,,Yes,0,Graduate,No,Semiurban
LP002874,Male,No,0,Graduate,No,Urban
LP002877,Male,Yes,1,Graduate,No,Rural
LP002888,Male,No,0,Graduate,,Urban
LP002892,Male,Yes,2,Graduate,No,Semiurban
LP002893,Male,No,0,Graduate,No,Urban
LP002894,Female,Yes,0,Graduate,No,Semiurban
LP002898,Male,Yes,1,Graduate,No,Rural
LP002911,Male,Yes,1,Graduate,No,Rural
LP002912,Male,Yes,1,Graduate,No,Rural
LP002916,Male,Yes,0,Graduate,No,Urban
LP002917,Female,No,0,Not Graduate,No,Semiurban
LP002925,,No,0,Graduate,No,Semiurban
LP002926,Male,Yes,2,Graduate,Yes,Semiurban
LP002928,Male,Yes,0,Graduate,No,Semiurban
LP002931,Male,Yes,2,Graduate,Yes,Semiurban
LP002933,,No,3+,Graduate,Yes,Semiurban
LP002936,Male,Yes,0,Graduate,No,Rural
LP002938,Male,Yes,0,Graduate,Yes,Urban
LP002940,Male,No,0,Not Graduate,No,Rural
LP002941,Male,Yes,2,Not Graduate,Yes,Rural
LP002943,Male,No,,Graduate,No,Semiurban
LP002945,Male,Yes,0,Graduate,Yes,Rural
LP002948,Male,Yes,2,Graduate,No,Urban
LP002949,Female,No,3+,Graduate,,Urban
LP002950,Male,Yes,0,Not Graduate,,Rural
LP002953,Male,Yes,3+,Graduate,No,Urban
LP002958,Male,No,0,Graduate,No,Rural
LP002959,Female,Yes,1,Graduate,No,Semiurban
LP002960,Male,Yes,0,Not Graduate,No,Urban
LP002961,Male,Yes,1,Graduate,No,Semiurban
LP002964,Male,Yes,2,Not Graduate,No,Rural
LP002974,Male,Yes,0,Graduate,No,Rural
LP002978,Female,No,0,Graduate,No,Rural
LP002979,Male,Yes,3+,Graduate,No,Rural
LP002983,Male,Yes,1,Graduate,No,Urban
LP002984,Male,Yes,2,Graduate,No,Urban
LP002990,Female,No,0,Graduate,Yes,Semiurban
